Age,Ville,Sexe,Votre spécialité en 2 BAC,Note d'examen Nationale,Note d'examen Régional,Note Générale,Votre niveau en Français,Votre niveau en Anglais,Votre Loisirs,Votre matière préférée,Votre matière détestée,Votre Soft Skills,Spécialité,"Sur une échelle de 1 à 10, comment évalueriez-vous votre performance dans cette spécialité ?","Sur une échelle de 1 à 10, comment évalueriez vous votre satisfaction par rapport à votre choix de spécialité ?"
33,Mrirt,Femme,Sciences Physiques,12,10,11,Avancé,Intermédiaire,"Lecture, Sport, Voyage, Arts plastiques (peinture, dessin, sculpture, etc.), Technologie (programmation, bricolage électronique, etc.), Ecriture",Histoire,Biologie,"Communication, Travail en équipe, Gestion du temps, Adaptabilité, Créativité, Résolution de problèmes, Leadership, Empathie, Esprit critique, Autonomie",Chimie,10,4
19,Salé,Homme,Sciences de la Vie et de la Terre,"9,06","13,85","11,44",Intermédiaire,Avancé,"Sport, Jeux vidéo, Technologie (programmation, bricolage électronique, etc.), Photographie",Histoire,Biologie,"Communication, Travail en équipe, Gestion du temps, Adaptabilité, Créativité, Résolution de problèmes, Leadership, Empathie, Esprit critique",Biologie,4,2
19,Fes,Femme,Sciences Physiques,"12,01","16,97","14,1",Avancé,Intermédiaire,"Lecture, Musique, Voyage, Jeux vidéo, Arts plastiques (peinture, dessin, sculpture, etc.), Technologie (programmation, bricolage électronique, etc.)",Informatique,Biologie,"Communication, Adaptabilité, Esprit critique",Informatique,7,4
18,Marrakech,Femme,Sciences Physiques,14,"14,6",15,Intermédiaire,Intermédiaire,"Lecture, Voyage, Bénévolat, Technologie (programmation, bricolage électronique, etc.)",Informatique,Biologie,"Adaptabilité, Créativité, Esprit critique",Informatique,4,4
23,Fes,Homme,Sciences Physiques,"13,5","13,5","13,5",Avancé,Intermédiaire,"Sport, Musique, Voyage, Cinéma, Jeux vidéo",Informatique,Biologie,"Empathie, Esprit critique",Physique,7,2
22,Fes,Homme,Sciences Mathématiques,"10,92","13,9","12,65",Intermédiaire,Intermédiaire,"Sport, Voyage, Technologie (programmation, bricolage électronique, etc.), Photographie",Informatique,Biologie,"Travail en équipe, Résolution de problèmes, Empathie",Informatique,7,3
19,Salé,Homme,Sciences Physiques,"11,51","15,55",13,Intermédiaire,Avancé,"Voyage, Technologie (programmation, bricolage électronique, etc.), chess",Informatique,Biologie,"Adaptabilité, Résolution de problèmes, Leadership",Informatique,8,5
21,Salé,Homme,Sciences Physiques,"16,4","17,2","16,8",Avancé,Fluent,"Lecture, Musique, Cinéma, Jeux vidéo",Mathématiques,Biologie,"Communication, Travail en équipe, Adaptabilité, Résolution de problèmes, Esprit critique",Ingénierie,7,4
19,Oujda,Femme,Sciences Physiques,"12,1",13,"12,1",Avancé,Avancé,"Lecture, Sport, Musique, Voyage, Cinéma, Arts plastiques (peinture, dessin, sculpture, etc.), Technologie (programmation, bricolage électronique, etc.)",Mathématiques,Biologie,"Créativité, Résolution de problèmes, Leadership",Éducation,9,3
23,Rabat,Homme,Sciences Mathématiques,11,14,12,Avancé,Avancé,"Musique, Voyage, Jeux vidéo, Technologie (programmation, bricolage électronique, etc.)",Mathématiques,Biologie,"Travail en équipe, Adaptabilité, Créativité, Résolution de problèmes, Leadership, Autonomie",Informatique,9,5
21,Tanger,Femme,Sciences Physiques,"14,28","17,75","19,39",Avancé,Intermédiaire,"Lecture, Voyage, Technologie (programmation, bricolage électronique, etc.), Ecriture, Photographie",Mathématiques,Chimie,"Travail en équipe, Adaptabilité, Créativité, Leadership, Autonomie",Ingénierie,8,4
32,Immouzzer kandar,Femme,Sciences Physiques,"12,4",10,"11,8",Avancé,Intermédiaire,"Lecture, Sport, Cuisson",Physique,Chimie,"Résolution de problèmes, Esprit critique",Physique,7,4
22,Tetouan,Homme,Sciences et Technologies Électriques,"16,35",16,"16,35",Fluent,Intermédiaire,"Voyage, Arts plastiques (peinture, dessin, sculpture, etc.), Technologie (programmation, bricolage électronique, etc.), Photographie",Sciences d'ingénieur,Chimie,"Travail en équipe, Créativité, Résolution de problèmes, Leadership",Ingénierie,9,5
20,Fes,Femme,Sciences Mathématiques,13,"17,9","15,36",Avancé,Avancé,"Lecture, Musique, Voyage, Arts plastiques (peinture, dessin, sculpture, etc.), Technologie (programmation, bricolage électronique, etc.), Ecriture, Photographie",Biologie,Histoire,"Communication, Gestion du temps, Adaptabilité, Leadership, Empathie, Esprit critique, Autonomie",Médecine,8,5
