Age , Ville , Sexe , spécialité_BAC , Nationale , examen_Régional , Note_Générale , Français ,  Anglais , Loisirs , préférée ,  détestée , Skills ,  Spécialité , performance, satisfaction
22,1,1,4,15.6,13.6,15.64,2,2,"12, 16, 18, 2",11,8,"1, 5",6,5,2
25,2,1,4,10,17,13,4,3,"12, 4, 10",3,11,"1, 5, 3",16,8,5
18,3,1,4,14,14.6,15,2,2,"12, 18, 4, 17",7,2, "1, 5, 9"  ,7,4,4
21,4,0,4,14,15,15,3,2,"16, 11",7,5,"1, 5, 12",7,7,4
22,3,0,4,12,15.25,13.71,2,3,"16, 18, 17",7,6,"1, 5, 12",7,4,5
19,5,0,4,11.61,17.45,13.76,3,3,16,2,5,"1, 5, 12, 3",3,7,4
17.5,6,0,7,17,15.98,17.5,3,2,"12, 16, 6, 10",9,6,"1, 5, 12, 9",7,8,5
20,7,1,4,17,18,18,3,2,"12, 2, 4, 10","11, 9, 8, 5",8,"1, 5, 12, 9, 3",2,7,4
18,8,0,1,11.5,15.8,12.42,3,4,"16, 11, 17",11,13,"1, 5, 12, 11, 8, 9, 3",7,7,2
20,2,0,4,14.27,15.2,15.58,2,2,"12, 13, 11",7,5,"1, 8, 3",7,8,5
30,9,1,2,11,12,11,2,1,"12, 18, 14, 7",2,10,"1, 8, 6, 7",12,6,1
20,8,0,1,9.31,17.5,13.27,3,3,"12, 16, 13, 18, 6, 11, 2, 14",6,8,"1, 12, 9, 3",2,2,5
19,5,0,4,11.51,15.55,13,2,3,"18, 17, 5",7,2,"1, 12, 11",7,8,5
19,8,1,4,12.14,14.43,14.02,2,3,"12, 13, 6",7,5,4,7,5,3
18,6,0,4,13,15.05,14,3,2,"16, 13, 18, 11, 17",11,9,4,7,5,4
17,3,0,4,15.55,16.65,16.71,3,2,"12, 6, 2",2,11,4,2,4,1
19,5,0,7,8.4,13.83,10.9,2,3,16,8,11,"4, 1, 5",13,6,2
31,6,0,9,14,9,12,2,4,"12, 16, 13, 14",8,8,"4, 1, 5, 3",13,8,3
21,10,0,4,16.97,17.45,17.24,3,3,16,14,5,"4, 1, 5, 12",2,8,4
