Age ,Ville, Sexe , spécialité_BAC , Nationale , examen_Régional , Note_Générale , Français ,  Anglais , Loisirs , préférée ,  détestée , Skills ,  Spécialité , performance, satisfaction
22,Mohammedia,Ville,Femme,Sciences Physiques,"15,6","13,6","15,64",Intermédiaire,Intermédiaire,"Lecture, Sport, Voyage, Arts plastiques (peinture, dessin, sculpture, etc.)",Mathématiques,None,"Adaptabilité, Créativité",Physique,5,2
25,Meknes,Mohammedia,Femme,Sciences Physiques,10,17,13,Fluent,Avancé,"Lecture, Bénévolat, Ecriture",Chimie,Mathématiques,"Adaptabilité, Créativité, Autonomie",Biologie,8,5
18,Marrakech,Meknes,Femme,Sciences Physiques,14,"14,6",15,Intermédiaire,Intermédiaire,"Lecture, Voyage, Bénévolat, Technologie (programmation, bricolage électronique, etc.)",Informatique,Biologie,"Adaptabilité, Créativité, Esprit critique",Informatique,4,4
21,Taourirt,Marrakech,Homme,Sciences Physiques,14,15,15,Avancé,Intermédiaire,"Sport, Jeux vidéo",Informatique,Langues,"Adaptabilité, Créativité, Résolution de problèmes",Informatique,7,4
22,Marrakech,Taourirt,Homme,Sciences Physiques,12,"15,25","13,71",Intermédiaire,Avancé,"Sport, Voyage, Technologie (programmation, bricolage électronique, etc.)",Informatique,Physique,"Adaptabilité, Créativité, Résolution de problèmes",Informatique,4,5
19,Salé,Salé,Homme,Sciences Physiques,"11,61","17,45","13,76",Avancé,Avancé,Sport,Biologie,Histoire,"Adaptabilité, Créativité, Résolution de problèmes, Autonomie",Médecine,7,4
18,Casablanca,Casablanca,Homme,Sciences Économiques,17,"15,98","17,5",Avancé,Intermédiaire,"Lecture, Sport, Cinéma, Ecriture",Littérature,Physique,"Adaptabilité, Créativité, Résolution de problèmes, Esprit critique",Economie,8,5
20,Rabat,Rabat,Femme,Sciences Physiques,17,18,18,Avancé,Intermédiaire,"Lecture, Arts plastiques (peinture, dessin, sculpture, etc.), Bénévolat, Ecriture","Mathématiques,Littérature,Langues,Histoire",None,"Adaptabilité, Créativité, Résolution de problèmes, Esprit critique, Autonomie",Ingénierie,7,4
18,Fes,Fes,Homme,Sciences Mathématiques,"11,5","15,8","12,42",Avancé,Fluent,"Sport, Jeux vidéo, Technologie (programmation, bricolage électronique, etc.)",Mathématiques,Philosophie,"Adaptabilité, Créativité, Résolution de problèmes, Leadership, Empathie, Esprit critique, Autonomie",Economie,7,2
20,Meknes,El Hajeb,Homme,Sciences Physiques,"14,27","15,2","15,58",Intermédiaire,Intermédiaire,"Lecture, Musique, Jeux vidéo",Informatique,Langues,"Adaptabilité, Empathie, Autonomie",Informatique,8,5
30,El Hajeb,Sidi Slimane,Femme,Sciences de la Vie et de la Terre,11,12,11,Intermédiaire,Débutant,"Lecture, Voyage, Photographie, Cuisson",Biologie,Physique,"Adaptabilité, Empathie, Ecoute,Gestion du stress",Éducation,6,1
20,Fes,Tanger,Homme,Sciences Mathématiques,"9,31","17,5","13,27",Avancé,Avancé,"Lecture, Sport, Musique, Voyage, Cinéma, Jeux vidéo, Arts plastiques (peinture, dessin, sculpture, etc.), Technologie (programmation, bricolage électronique, etc.), Ecriture, Photographie",Physique,None,"Adaptabilité, Résolution de problèmes, Esprit critique, Autonomie",Ingénierie,2,5
19,Salé,Taza,Homme,Sciences Physiques,"11,51","15,55",13,Intermédiaire,Avancé,"Voyage, Technologie (programmation, bricolage électronique, etc.), chess",Informatique,Biologie,"Adaptabilité, Résolution de problèmes, Leadership",Informatique,8,5
19,Fes,Tétouan ,Femme,Sciences Physiques,"12,14","14,43","14,02",Intermédiaire,Avancé,"Lecture, Musique, Cinéma",Informatique,Histoire,Communication,Informatique,5,3
18,Casablanca,Azrou,Homme,Sciences Physiques,13,"15,05",14,Avancé,Intermédiaire,"Sport, Musique, Voyage, Jeux vidéo, Technologie (programmation, bricolage électronique, etc.)",Mathématiques,Littérature,Communication,Informatique,5,4
17,Marrakech,Oujda,Homme,Sciences Physiques,"15,55","16,65","16,71",Avancé,Intermédiaire,"Lecture, Cinéma, Arts plastiques (peinture, dessin, sculpture, etc.)",Biologie,Mathématiques,Communication,Biologie,4,1
19,Salé,Nador,Homme,Sciences Économiques,"8,4","13,83","10,9",Intermédiaire,Avancé,"Sport, Musique",Langues,Mathématiques,"Communication, Adaptabilité, Créativité",Langues étrangères,6,2
31,Casablanca,Agadir,Homme,Lettres,14,9,12,Intermédiaire,Fluent,"Lecture, Sport, Musique, Photographie",Langues,None,"Communication, Adaptabilité, Créativité, Autonomie",Langues étrangères,8,3
21,Sidi Slimane,Safi,Homme,Sciences Physiques,"16,97","17,45","17,24",Avancé,Avancé,Sport,Physique,Histoire,"Communication, Adaptabilité, Créativité, Résolution de problèmes",Ingénierie,8,4
19,Fes,Qatar,Femme,Sciences Physiques,"12,01","16,97","14,1",Avancé,Intermédiaire,"Lecture, Musique, Voyage, Jeux vidéo, Arts plastiques (peinture, dessin, sculpture, etc.), Technologie (programmation, bricolage électronique, etc.)",Informatique,Biologie,"Communication, Adaptabilité, Esprit critique",Informatique,7,4
19,Tanger,Khenifra,Femme,Sciences Économiques,"11,77","13,65",12,Avancé,Avancé,"Lecture, Musique, Technologie (programmation, bricolage électronique, etc.), Photographie",Langues,Mathématiques,"Communication, Créativité, Leadership, Autonomie",Economie,4,4
20,Taza,Salè,Femme,Sciences Physiques,"15,78","17,4","16,62",Avancé,Avancé,"Sport, Technologie (programmation, bricolage électronique, etc.)",Informatique,None,"Communication, Créativité, Résolution de problèmes",Informatique,9,5
28,Rabat,Alhoceima,Femme,Sciences Physiques,14,16,14,Avancé,Intermédiaire,"Sport, Voyage, Bénévolat, Photographie",Biologie,Physique,"Communication, Créativité, Résolution de problèmes, Empathie",Biologie,6,3
21,Tétouan ,Temara,Homme,Sciences Physiques,16,15,"15,5",Intermédiaire,Avancé,Rien,Informatique,None,"Communication, Empathie",Informatique,7,5
19,Fes,Berkane ,Homme,Sciences Physiques,"12,66","16,5",15,Intermédiaire,Intermédiaire,"Sport, Musique, Voyage",Physique,Littérature,"Communication, Esprit critique, Autonomie",Informatique,3,2
29,Azrou,Mrirt,Femme,Sciences Physiques,"15,15","13,25","15,37",Intermédiaire,Débutant,"Sport, Musique, Voyage, Arts plastiques (peinture, dessin, sculpture, etc.), Ecriture",Mathématiques,Langues,"Communication, Gestion du temps",Ingénierie,7,4
20,Oujda,Taroudant,Femme,Sciences Physiques,16,17,16,Avancé,Avancé,"Cinéma, Photographie",Biologie,Mathématiques,"Communication, Gestion du temps, Adaptabilité, Leadership",Economie,7,3
20,Fes,Ouazzane,Femme,Sciences Mathématiques,13,"17,9","15,36",Avancé,Avancé,"Lecture, Musique, Voyage, Arts plastiques (peinture, dessin, sculpture, etc.), Technologie (programmation, bricolage électronique, etc.), Ecriture, Photographie",Biologie,Histoire,"Communication, Gestion du temps, Adaptabilité, Leadership, Empathie, Esprit critique, Autonomie",Médecine,8,5
19,Nador,Sefrou,Femme,Sciences Physiques,"10,98",15,"13,16",Intermédiaire,Intermédiaire,Ecriture,Chimie,None,"Communication, Gestion du temps, Résolution de problèmes",Chimie,8,5
24,Agadir,Midelt,Homme,Sciences de la Vie et de la Terre,"9,26","12,6","10,76",Intermédiaire,Intermédiaire,"Sport, Technologie (programmation, bricolage électronique, etc.)",Biologie,Histoire,"Communication, Gestion du temps, Résolution de problèmes, Esprit critique",Biologie,1,3
18,Safi,Khouribga,Homme,Sciences Physiques,"17,2","16,8","17,32",Avancé,Intermédiaire,"Sport, Cinéma, Jeux vidéo",Physique,None,"Communication, Résolution de problèmes, Leadership",Médecine,8,5
18,Rabat,Ain Taoujdate,Femme,Sciences de la Vie et de la Terre,"7,6","16,9","12,54",Intermédiaire,Intermédiaire,"Lecture, Sport, Musique",Histoire,Mathématiques,"Communication, Travail en équipe, Adaptabilité, Créativité, Leadership, Empathie",Economie,4,2
19,Fes,Ain Dorij,Femme,Sciences Mathématiques,"11,9","18,6","15,42",Fluent,Fluent,"Lecture, Musique, Voyage, Arts plastiques (peinture, dessin, sculpture, etc.), Ecriture, Photographie",Biologie,None,"Communication, Travail en équipe, Adaptabilité, Créativité, Leadership, Esprit critique, Autonomie",Informatique,6,5
18,Fes,Tantan,Femme,Sciences Physiques,"16,89","17,75","16,34",Intermédiaire,Débutant,"Musique, Bénévolat, Photographie",Langues,Biologie,"Communication, Travail en équipe, Adaptabilité, Créativité, Résolution de problèmes",Economie,7,4
43,Qatar,Immouzzer Kandar,Homme,Lettres,"13,36",12,"11,82",Avancé,Intermédiaire,"Lecture, Sport, Musique, Voyage, Cinéma, Photographie","Philosophie,Littérature","Biologie,Physique,Mathématiques","Communication, Travail en équipe, Adaptabilité, Créativité, Résolution de problèmes",Sciences humaines et sociales,8,5
18,Fes,Larache,Femme,Sciences Mathématiques,"11,27","17,45","14,57",Fluent,Intermédiaire,"Voyage, Bénévolat, Ecriture, Débat - public speaking",Mathématiques,Informatique,"Communication, Travail en équipe, Adaptabilité, Créativité, Résolution de problèmes, Empathie, Esprit critique, Autonomie",Economie,8,4
19,Salé,Rich,Homme,Sciences Physiques,9,16,9,Intermédiaire,Avancé,"Lecture, Technologie (programmation, bricolage électronique, etc.), Ecriture, Photographie",Philosophie,Mathématiques,"Communication, Travail en équipe, Adaptabilité, Créativité, Résolution de problèmes, Leadership",Informatique,5,4
20,Fes,Béni Mellal ,Homme,Sciences Mathématiques,16,"19,15","17,59",Avancé,Avancé,"Sport, Musique, Jeux vidéo, Ecriture",Physique,None,"Communication, Travail en équipe, Adaptabilité, Leadership, Esprit critique",Ingénierie,7,4
18,Fes,,Femme,Sciences Physiques,"15,76","16,35","16,63",Avancé,Intermédiaire,"Musique, Voyage, Cinéma",Biologie,Mathématiques,"Communication, Travail en équipe, Adaptabilité, Leadership, Esprit critique, Autonomie",Economie,5,2
31,Khenifra,,Femme,Sciences Physiques,12,"14,05","13,49",Avancé,Intermédiaire,"Lecture, Musique, Cinéma, Jeux vidéo",Physique,Biologie,"Communication, Travail en équipe, Adaptabilité, Résolution de problèmes",Physique,7,2
24,Fes,,Femme,Sciences Physiques,"19,21","17,75","18,6",Intermédiaire,Débutant,"Lecture, Ecriture",Médecine,None,"Communication, Travail en équipe, Adaptabilité, Résolution de problèmes, Empathie",Médecine,8,5
21,Salé,,Homme,Sciences Physiques,"16,4","17,2","16,8",Avancé,Fluent,,Mathématiques,Biologie,"Communication, Travail en équipe, Adaptabilité, Résolution de problèmes, Esprit critique",Ingénierie,7,4
18,Fes,,Homme,Sciences Physiques,"14,48","14,75","14,86",Intermédiaire,Intermédiaire,Jeux vidéo,Biologie,Mathématiques,"Communication, Travail en équipe, Adaptabilité, Résolution de problèmes, Esprit critique",Médecine,10,5
31,Fes,,Femme,Sciences Mathématiques,"12,5",14,"12,5",Fluent,Intermédiaire,"Sport, Jeux vidéo",Informatique,Mathématiques,"Communication, Travail en équipe, Adaptabilité, Résolution de problèmes, Leadership, Esprit critique",Informatique,8,4
21,Rabat,,Homme,Sciences Physiques,"13,16","15,3","14,61",Intermédiaire,Avancé,"Musique, Voyage, Cinéma, Jeux vidéo, Technologie (programmation, bricolage électronique, etc.), Photographie",Informatique,Littérature,"Communication, Travail en équipe, Adaptabilité, Résolution de problèmes, Leadership, Esprit critique, Autonomie",Informatique,9,5
19,Fes,,Homme,Sciences Physiques,"13,5","16,9","14,6",Intermédiaire,Intermédiaire,"Sport, Musique, Jeux vidéo, Technologie (programmation, bricolage électronique, etc.)",Informatique,Mathématiques,"Communication, Travail en équipe, Créativité",Informatique,6,5
23,Salè,,Homme,Sciences de la Vie et de la Terre,"14,21",9,"13,25",Intermédiaire,Intermédiaire,"Musique, Voyage, Bénévolat",Mathématiques,None,"Communication, Travail en équipe, Créativité",Economie,7,4
20,Fes,,Femme,Sciences Physiques,10,16,13,Avancé,Intermédiaire,"Sport, Voyage, Cinéma, Photographie",Physique,Mathématiques,"Communication, Travail en équipe, Créativité, Leadership",Economie,7,5
19,Fes,,Femme,Sciences et Technologies Mécaniques,13,"14,7",13,Avancé,Avancé,"Lecture, Musique, Voyage, Technologie (programmation, bricolage électronique, etc.), Photographie",Mathématiques,None,"Communication, Travail en équipe, Créativité, Résolution de problèmes, Leadership",Ingénierie,8,5
21,Rabat,,Femme,Sciences Physiques,17,17,"17,8",Avancé,Intermédiaire,"Lecture, Sport, Voyage, Bénévolat, Technologie (programmation, bricolage électronique, etc.), Photographie",Informatique,Histoire,"Communication, Travail en équipe, Créativité, Résolution de problèmes, Leadership, Empathie, Esprit critique, Autonomie",Ingénierie,8,4
22,Alhoceima,,Femme,Sciences Physiques,"16,63","16,1","16,97",Avancé,Intermédiaire,"Lecture, Arts plastiques (peinture, dessin, sculpture, etc.), Technologie (programmation, bricolage électronique, etc.)",Mathématiques,None,"Communication, Travail en équipe, Créativité, Résolution de problèmes, Leadership, Esprit critique",Ingénierie,7,4
25,Fes,,Homme,Sciences de la Vie et de la Terre,"12,7","16,5",12,Fluent,Fluent,"Lecture, Sport, Musique, Voyage, Ecriture",Biologie,Mathématiques,"Communication, Travail en équipe, Créativité, Résolution de problèmes, Leadership, Esprit critique, Autonomie",Droit,6,3
19,Fes,,Femme,Sciences Physiques,"10,49","14,8","13,27",Intermédiaire,Débutant,"Lecture, Musique, Voyage",Comptabilité,None,"Communication, Travail en équipe, Esprit critique",Economie,5,3
