Age,Ville,Sexe,specialite_BAC,Nationale,Regional,Generale,Francais,Anglais,Loisirs,preferee,detestee,Skills,specialite,performance,satisfaction
30,larache,Femme,SE,15,"6,86","11,45",Intermediaire,Intermediaire,Cinema,Physique,Mathematiques,Resolutiondeproblmes,Economie,8,4
20,fes,Homme,SP,"14,05","10,75","14,5",Intermediaire,Avance,"Musique,Jeuxvideo,Technologie,Photographie",Informatique,Physique,"Resolutiondeproblmes,Espritcritique",Informatique,9,5
19,sale,Homme,SVT,"9,06","13,85","11,44",Intermediaire,Avance,"Sport,Jeuxvideo,Technologie,Photographie",Histoire,Biologie,"Communication,Travailenequipe,Gestiondutemps,Adaptabilite,Creativite,Resolutiondeproblmes,Leadership,Empathie,Espritcritique",Biologie,4,2
20,fes,Homme,STE,"15,76","16,55","15,75",Avance,Avance,"Sport,Jeuxvideo,Technologie",Informatique,Histoire,"Gestiondutemps,Leadership",Informatique,8,5
19,oujda,Femme,SP,"12,1",13,"12,1",Avance,Avance,"Lecture,Sport,Musique,Voyage,Cinema,Artsplastiques,Technologie",Mathematiques,Biologie,"Creativite,Resolutiondeproblmes,Leadership",education,9,3
19,sale,Homme,SP,"11,61","17,45","13,76",Avance,Avance,Sport,Biologie,Histoire,"Adaptabilite,Creativite,Resolutiondeproblmes,Autonomie",Medecine,7,4
20,midelt,Homme,SP,"16,47","16,5","16,7",Avance,Intermediaire,"Sport,Voyage,Jeuxvideo,Technologie",Physique,Mathematiques,"Communication,Travailenequipe,Gestiondutemps,Creativite,Espritcritique",Informatique,7,3
43,qatar,Homme,Lettres,12,13,"11,82",Avance,Intermediaire,"Lecture,Sport,Musique,Voyage,Cinema,Photographie",Philosophie et litterature,Toutes les matières scientifiques,"Communication,Travailenequipe,Adaptabilite,Creativite,Resolutiondeproblmes",Sciences humaines et sociales,8,5
22,rabat,Homme,SP,"16,02","10,65","14,38",Avance,Intermediaire,"Lecture,Voyage,Cinema",Physique,,"Communication,Travailenequipe,Espritcritique",Physique,9,5
20,tetouan,Homme,SP,10,11,"10,27",Intermediaire,Intermediaire,"Sport,Voyage,Technologie",Informatique,Litterature,"Communication,Travailenequipe,Resolutiondeproblmes",Economie,7,2
31,casa,Homme,Lettres,14,9,12,Intermediaire,Fluent,"Lecture,Sport,Musique,Photographie",Langues,,"Communication,Adaptabilite,Creativite,Autonomie",Langues etrangères,8,3
22,taroudant,Homme,SP,"16,42","16,92","16,67",Intermediaire,Intermediaire,"Sport,Voyage,Benevolat",Informatique,Litterature,"Communication,Travailenequipe,Gestiondutemps,Adaptabilite,Creativite,Resolutiondeproblmes,Leadership,Empathie,Espritcritique,Autonomie",Informatique,8,5
24,rabat,Femme,SP,"16,98","13,9","16,14",Avance,Avance,"Lecture,Musique,Voyage,Cinema,Jeuxvideo,Benevolat,Technologie,Ecriture,Photographie",Mathematiques,Histoire,"Communication,Travailenequipe,Gestiondutemps,Adaptabilite,Creativite,Resolutiondeproblmes,Leadership,Empathie,Espritcritique,Autonomie",Ingenierie,10,5
23,ouazzane,Homme,SP,"18,03","13,5","16,81",Intermediaire,Intermediaire,"Lecture,Musique",Physique,Histoire,"Communication,Travailenequipe,Gestiondutemps,Adaptabilite,Creativite,Resolutiondeproblmes,Leadership,Espritcritique,Autonomie",Ingenierie,8,5
19,sale,Homme,SP,9,16,9,Intermediaire,Avance,"Lecture,Technologie,Ecriture,Photographie",Philosophie,Mathematiques,"Communication,Travailenequipe,Adaptabilite,Creativite,Resolutiondeproblmes,Leadership",Informatique,5,4
22,fes,Femme,SP,"16,77","15,65","16,67",Avance,Avance,"Artsplastiques,Benevolat,Photographie",Mathematiques,Histoire,"Travailenequipe,Gestiondutemps,Creativite,Autonomie",Ingenierie,9,5
21,sale,Femme,SP,"16,7","17,85",17,Fluent,Avance,"Lecture,Musique,Voyage,Cinema,Benevolat",Mathematiques,Histoire,"Communication,Travailenequipe,Gestiondutemps,Adaptabilite,Leadership,Autonomie",Ingenierie,10,5
18,fes,Femme,SP,"13,56","16,2","15,33",Avance,Intermediaire,"Sport,Voyage,Artsplastiques",Informatique,,"Travailenequipe,Adaptabilite,Creativite,Resolutiondeproblmes",Informatique,7,5
22,fes,Homme,SM,"10,92","13,9","12,65",Intermediaire,Intermediaire,"Sport,Voyage,Technologie,Photographie",Informatique,Biologie,"Travailenequipe,Resolutiondeproblmes,Empathie",Informatique,7,3
23,fes,Femme,SP,"16,49","17,68","17,06",Fluent,Intermediaire,"Musique,Voyage",Physique,,"Communication,Travailenequipe,Gestiondutemps,Leadership,Autonomie",Ingenierie,9,5
26,fes,Homme,SP,"14,52","13,9","14,77",Fluent,Avance,"Sport,Voyage,Jeuxvideo,Benevolat",Mathematiques,,"Travailenequipe,Gestiondutemps,Adaptabilite,Resolutiondeproblmes,Leadership,Autonomie",Ingenierie,9,4
24,fes,Femme,SP,"19,21","17,75","18,6",Intermediaire,Debutant,"Lecture,Ecriture",Medecine,,"Communication,Travailenequipe,Adaptabilite,Resolutiondeproblmes,Empathie",Medecine,8,5
23,rabat,Homme,SM,11,14,12,Avance,Avance,"Musique,Voyage,Jeuxvideo,Technologie",Mathematiques,Biologie,"Travailenequipe,Adaptabilite,Creativite,Resolutiondeproblmes,Leadership,Autonomie",Informatique,9,5
19,fes,Femme,SP,"10,49","14,8","13,27",Intermediaire,Debutant,"Lecture,Musique,Voyage",Comptabilite,,"Communication,Travailenequipe,Espritcritique",Economie,5,3
19,fes,Femme,SM,"11,9","18,6","15,42",Fluent,Fluent,"Lecture,Musique,Voyage,Artsplastiques,Ecriture,Photographie",Biologie,,"Communication,Travailenequipe,Adaptabilite,Creativite,Leadership,Espritcritique,Autonomie",Informatique,6,5
18,fes,Homme,SP,"14,48","14,75","14,86",Intermediaire,Intermediaire,Jeuxvideo,Biologie,Mathematiques,"Communication,Travailenequipe,Adaptabilite,Resolutiondeproblmes,Espritcritique",Medecine,10,5
23,beni mellal,Homme,Lettres,"16,73",16,16,Intermediaire,Intermediaire,"Lecture,Sport,Musique,Voyage,Cinema",Litterature,Litterature,"Travailenequipe,Resolutiondeproblmes,Espritcritique",Sciences humaines et sociales,7,3
19,meknes,Homme,SP,"15,14","13,5","15,04",Intermediaire,Debutant,"Sport,Jeuxvideo,Artsplastiques,Technologie",Informatique,Langues,"Gestiondutemps,Adaptabilite,Creativite,Resolutiondeproblmes",Informatique,6,4
21,rabat,Femme,SM,"12,75","16,17","14,75",Avance,Intermediaire,"Sport,Voyage,Artsplastiques,Photographie",Mathematiques,Histoire,"Communication,Travailenequipe,Gestiondutemps,Creativite,Leadership",Ingenierie,8,4
19,sale,Homme,SP,"11,51","15,55",13,Intermediaire,Avance,"Voyage,Technologie,chess",Informatique,Biologie,"Adaptabilite,Resolutiondeproblmes,Leadership",Informatique,8,5
22,rabat,Homme,SP,12,12,"12,64",Intermediaire,Avance,"Musique,Voyage,Jeuxvideo,Benevolat,Photographie",Langues,Physique,"Communication,Travailenequipe,Leadership",Economie,7,5
19,sale,Homme,SP,10,17,13,Intermediaire,Debutant,"Sport,Musique,Voyage,Benevolat",Marketing,Physique,"Communication,Travailenequipe,Gestiondutemps,Adaptabilite",Economie,5,5
20,rabat,Femme,SP,17,18,18,Avance,Intermediaire,"Lecture,Artsplastiques,Benevolat,Ecriture","Mathematiques,Litterature,Langues,Histoire",,"Adaptabilite,Creativite,Resolutiondeproblmes,Espritcritique,Autonomie",Ingenierie,7,4
20,fes,Femme,SM,13,"17,9","15,36",Avance,Avance,"Lecture,Musique,Voyage,Artsplastiques,Technologie,Ecriture,Photographie",Biologie,Histoire,"Communication,Gestiondutemps,Adaptabilite,Leadership,Empathie,Espritcritique,Autonomie",Medecine,8,5
23,el hajeb,Femme,SP,17,"14,4","16,65",Intermediaire,Intermediaire,"Sport,Voyage,Photographie",Physique,Langues,"Travailenequipe,Adaptabilite",Ingenierie,7,4
