Timestamp,Age,Ville,Sexe,  specialite_BAC, Nationale ,Regional,Generale,Francais, Anglais,Loisirs,preferee ,detestee ,Skills,specialite,performance,satisfaction,  Quelle est votre filière d cette specialite ?  
,22,agadir,Homme,SP,17.21,17.31,17.15,Intermediaire,Avance,"Sport, Musique, Voyage, Cinema, Jeux video, Technologie ",Physique,Litterature,"Travail en equipe, Gestion du temps, Creativite, Esprit critique",Informatique,8,4,
,18,agadir,Femme,SP,12.00,15.00,12.00,Fluent,Fluent,"Lecture, Sport, Musique, Voyage, Cinema, Benevolat, Technologie , Ecriture",Langues,Physique,"Communication, Travail en equipe, Gestion du temps, Adaptabilite, Creativite, Resolution de problèmes, Leadership, Empathie, Esprit critique, Autonomie",Ingenierie,8,3,
,24,agadir,Homme,SVT,9.26,12.60,10.76,Intermediaire,Intermediaire,"Sport, Technologie ",Biologie,Histoire,"Communication, Gestion du temps, Resolution de problèmes, Esprit critique",Biologie,1,3,
,24,agadir,Femme,SM,12.00,15.00,13.00,Avance,Avance,"Lecture, Sport, Technologie , Photographie",Mathematiques,None,"Communication, Travail en equipe, Adaptabilite, Creativite, Resolution de problèmes, Empathie, Esprit critique, Autonomie",Informatique,8,5,Intelligence artificielle 
,18,agadir,Femme,SE,13.70,12.60,15.00,Intermediaire,Debutant,"Sport, Musique, Voyage",Comptabilite ,Mathematiques,"Travail en equipe, Gestion du temps, Creativite",Economie,6,5,Techniques de management 
,18,agadir,Femme,SE,13.70,12.60,15.00,Intermediaire,Debutant,"Sport, Musique, Voyage",Comptabilite ,Mathematiques,"Travail en equipe, Gestion du temps, Creativite",Economie,6,5,Techniques de management 
,18,agadir,Femme,SE,14.36,13.51,15.01,Avance,Intermediaire,"Sport, Musique, Voyage, Photographie",Langues,Mathematiques,"Communication, Travail en equipe, Leadership",Economie,6,4,Entreprenariat digital et communication 
,20,ain taoujdate,Femme,Lettres,16.83,12.86,15.86,Intermediaire,Avance,"Musique, Arts plastiques , Photographie",Histoire,Mathematiques,"Creativite, Resolution de problèmes, Esprit critique",Arts et design,2,1,
,22,alhoceima,Femme,SP,16.63,16.10,16.97,Avance,Intermediaire,"Lecture, Arts plastiques , Technologie ",Mathematiques,None,"Communication, Travail en equipe, Creativite, Resolution de problèmes, Leadership, Esprit critique",Ingenierie,7,4,
,29,azrou ,Femme,SP,15.15,13.25,15.37,Intermediaire,Debutant,"Sport, Musique, Voyage, Arts plastiques , Ecriture",Mathematiques,Langues,"Communication, Gestion du temps",Ingenierie,7,4,
,17,benguerir ,Femme,SP,17.00,17.65,17.20,Intermediaire,Intermediaire,"Lecture, Sport, Arts plastiques , Technologie , Ecriture, Photographie",Physique,Langues,"Communication, Travail en equipe, Gestion du temps, Creativite, Resolution de problèmes, Leadership, Esprit critique, Autonomie",Medecine,10,5,Obstetricien et gynecologue
,23,beni mellal ,Homme,Lettres,16.73,16.00,16.00,Intermediaire,Intermediaire,"Lecture, Sport, Musique, Voyage, Cinema",Litterature,Litterature,"Travail en equipe, Resolution de problèmes, Esprit critique",Sciences humaines et sociales,7,3,
,21,berkane,Homme,SP,15.57,15.50,15.54,Avance,Intermediaire,Sport,Informatique,Litterature,"Travail en equipe, Adaptabilite",Informatique,7,4,
,20,berkane ,Femme,SP,13.58,13.90,14.58,Intermediaire,Intermediaire,"Lecture, Sport",Mathematiques,Histoire,"Travail en equipe, Adaptabilite, Creativite, Resolution de problèmes",Informatique,5,4,
,20,berkane ,Femme,SP,12.82,17.66,15.50,Avance,Debutant,"Lecture, Sport, Voyage, Arts plastiques , Photographie",Informatique,Histoire,"Communication, Travail en equipe, Gestion du temps, Adaptabilite, Creativite, Resolution de problèmes, Leadership, Autonomie",Informatique,8,5,
,31,casa,Homme,Lettres,14.00,9.00,12.00,Intermediaire,Fluent,"Lecture, Sport, Musique, Photographie",Langues,None,"Communication, Adaptabilite, Creativite, Autonomie",Langues etrangères,8,3,
,20,casa,Homme,SM,13.00,11.00,13.00,Intermediaire,Avance,"Lecture, Technologie ",Informatique,None,"Travail en equipe, Leadership",Informatique,7,5,
,18,casa,Homme,SP,13.00,15.05,14.00,Avance,Intermediaire,"Sport, Musique, Voyage, Jeux video, Technologie ",Mathematiques,Litterature,Communication,Informatique,5,4,
,21,casa,Femme,SM,17.18,19.10,18.17,Avance,Fluent,"Lecture, Ecriture",Informatique,None,"Travail en equipe, Adaptabilite, Empathie, Esprit critique",Informatique,7,5,
,21,casa,Femme,SGC,11.82,12.12,11.00,Avance,Intermediaire,Lecture,philosofie,None,"Gestion du temps, Adaptabilite, Creativite, Resolution de problèmes, Autonomie",Economie,5,3,
,30,casa,Femme,SM,14.30,16.00,14.70,Fluent,Fluent,"Sport, Voyage, Ecriture",Informatique,Histoire,"Communication, Travail en equipe, Gestion du temps, Adaptabilite, Creativite, Resolution de problèmes, Leadership",Ingenierie,3,1,Genie mecanique
,18,casa ,Homme,SE,17.00,15.98,17.50,Avance,Intermediaire,"Lecture, Sport, Cinema, Ecriture",Litterature,Physique,"Adaptabilite, Creativite, Resolution de problèmes, Esprit critique",Economie,8,5,
,21,casa ,Homme,SH,16.00,15.00,15.00,Avance,Avance,"Sport, Musique, Voyage, Jeux video, Ecriture",Langues,Physique,"Communication, Travail en equipe, Gestion du temps, Resolution de problèmes, Leadership, Esprit critique",Sciences politiques,6,3,
,18,casa ,Femme,SE,15.46,16.60,16.34,Avance,Fluent,"Lecture, Musique, Cinema, Jeux video, Ecriture, Photographie",Langues,Mathematiques,"Travail en equipe, Gestion du temps, Resolution de problèmes, Esprit critique, Autonomie",Economie,8,5,
,20,casa ,Homme,SP,16.00,18.00,16.00,Intermediaire,Intermediaire,"Lecture, Sport, Technologie ",Physique,Biologie,"Communication, Travail en equipe",Informatique,6,3,
,22,casa ,Femme,SP,13.13,17.80,15.11,Avance,Avance,"Lecture, Musique, Cinema, Technologie , Ecriture",Mathematiques,Histoire,"Creativite, Esprit critique",Informatique,7,4,Intelligence Artificielle 
,23,el hajeb,Femme,SP,17.00,14.40,16.65,Intermediaire,Intermediaire,"Sport, Voyage, Photographie",Physique,Langues,"Travail en equipe, Adaptabilite",Ingenierie,7,4,
,30,el hajeb,Femme,SVT,11.00,12.00,11.00,Intermediaire,Debutant,"Lecture, Voyage, Photographie, Cuisson",Biologie,Physique,"Adaptabilite, Empathie, Ecoute,Gestion du stress",education,6,1,
,31,el hajeb,Femme,SVT,14.00,12.00,13.00,Intermediaire,Debutant,"Lecture, Musique, Cinema",Informatique,Histoire,Travail en equipe,Biologie,5,2,
